#options: 1280x720 fps=144/1 timebase=1/144 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3567 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:42.71 aq:34.91 tex:71018 mv:21337 misc:181 imb:3600 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:42.77 aq:34.77 tex:4754 mv:4647 misc:1631 imb:337 pmb:272 smb:2991 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:42.76 aq:37.08 tex:6248 mv:5452 misc:1764 imb:299 pmb:346 smb:2955 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:42.75 aq:34.20 tex:11858 mv:9264 misc:2430 imb:617 pmb:486 smb:2497 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:42.75 aq:40.25 tex:1266 mv:2992 misc:1310 imb:69 pmb:303 smb:3228 d:s ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:42.74 aq:32.87 tex:12409 mv:9570 misc:2357 imb:590 pmb:495 smb:2515 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:42.75 aq:37.79 tex:972 mv:2690 misc:1178 imb:55 pmb:272 smb:3273 d:s ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:42.74 aq:41.57 tex:672 mv:2456 misc:1168 imb:18 pmb:271 smb:3311 d:- ref:0 ;
in:10 out:8 type:P dur:2 cpbdur:2 q:42.72 aq:33.25 tex:10546 mv:7821 misc:2321 imb:399 pmb:463 smb:2738 d:- ref:0 ;
in:8 out:9 type:B dur:2 cpbdur:2 q:42.73 aq:39.15 tex:819 mv:2555 misc:1074 imb:24 pmb:269 smb:3307 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:42.73 aq:42.33 tex:562 mv:1358 misc:792 imb:9 pmb:157 smb:3434 d:- ref:0 ;
